78
14 0 0
12 1 0
9 2 0
19 3 0
13 4 0
9 5 0
7 0 1
9 0 2
8 0 3
12 0 4
18 0 5
7 1 1
4 2 1
8 3 1
19 4 1
5 5 1
18 1 2
6 1 3
0 1 4
12 1 5
4 2 2
18 3 2
8 4 2
12 5 2
12 2 3
16 2 4
12 2 5
12 3 3
18 4 3
5 5 3
6 3 4
18 4 4
16 5 4
12 4 5
14 5 5
5 0 6
9 0 6
9 0 6
0 1 6
0 1 6
3 1 6
14 1 6
2 2 6
17 3 6
4 3 6
7 3 6
9 3 6
0 4 6
0 4 6
3 4 6
0 5 6
3 5 6
16 5 6
9 6 6
9 6 6
18 6 0
0 6 1
2 6 1
11 6 1
1 6 2
0 6 2
0 6 3
4 6 3
9 6 3
9 6 3
16 1 6
3 3 6
14 5 3
14 5 2
14 6 3
6 6 0
14 6 0
5 6 3
14 6 5
10 6 6
7 2 5
14 2 5
11 2 6
